miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	153584	14060.602199	N
hsa-let-7a-2	149730	13707.768825	Y
hsa-let-7a-3	149273	13665.930514	N
hsa-let-7b	77295	7076.350707	N
hsa-let-7c	41114	3763.983220	Y
hsa-let-7d	26686	2443.101041	N
hsa-let-7e	8631	790.167319	N
hsa-let-7f-1	168173	15396.223914	N
hsa-let-7f-2	180623	16536.020360	N
hsa-let-7g	175556	16072.136939	N
hsa-let-7i	52877	4840.884874	N
hsa-mir-1-1	1558839	142711.578492	N
hsa-mir-1-2	1654057	151428.778331	N
hsa-mir-100	73675	6744.940013	Y
hsa-mir-101-1	20872	1910.829833	N
hsa-mir-101-2	22055	2019.133383	N
hsa-mir-103a-1	45264	4143.915368	Y
hsa-mir-103a-2	47345	4334.430742	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.457750	N
hsa-mir-105-2	6	0.549299	N
hsa-mir-106a	258	23.619878	Y
hsa-mir-106b	5628	515.242924	N
hsa-mir-107	6174	565.229177	Y
hsa-mir-10a	9088	832.005631	N
hsa-mir-10b	100161	9169.731071	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.457750	N
hsa-mir-1180	413	37.810115	N
hsa-mir-1181	3	0.274650	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	30	2.746497	N
hsa-mir-1185-2	15	1.373249	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	12	1.098599	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.274650	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.373249	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.457750	N
hsa-mir-1229	1	0.091550	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.366200	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.640849	N
hsa-mir-124-2	11	1.007049	N
hsa-mir-124-3	15	1.373249	N
hsa-mir-1243	3	0.274650	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.640849	N
hsa-mir-1245b	8	0.732399	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	948	86.789320	N
hsa-mir-1248	18	1.647898	N
hsa-mir-1249	262	23.986078	N
hsa-mir-1250	9	0.823949	N
hsa-mir-1251	1	0.091550	N
hsa-mir-1252	1	0.091550	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.823949	N
hsa-mir-1254-2	7	0.640849	N
hsa-mir-1255a	33	3.021147	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.366200	N
hsa-mir-125a	96375	8823.123092	N
hsa-mir-125b-1	87606	8020.321884	N
hsa-mir-125b-2	87732	8031.857173	N
hsa-mir-126	71513	6547.009096	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	25	2.288748	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.274650	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	3	0.274650	N
hsa-mir-1266	1	0.091550	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.366200	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10029	918.154101	N
hsa-mir-1270	20	1.830998	N
hsa-mir-1271	860	78.732927	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.183100	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.091550	N
hsa-mir-1276	5	0.457750	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	1.007049	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	34609	3168.451020	N
hsa-mir-128-2	16511	1511.580652	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.091550	N
hsa-mir-1283-2	1	0.091550	N
hsa-mir-1284	6	0.549299	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	56	5.126795	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	5	0.457750	N
hsa-mir-1289-2	1	0.091550	N
hsa-mir-129-1	15	1.373249	N
hsa-mir-129-2	34	3.112697	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	37	3.387347	N
hsa-mir-1292	24	2.197198	N
hsa-mir-1293	13	1.190149	N
hsa-mir-1294	3	0.274650	N
hsa-mir-1295a	16	1.464799	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	419	38.359415	N
hsa-mir-1297	1	0.091550	N
hsa-mir-1298	4	0.366200	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	550	50.352453	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.183100	N
hsa-mir-1304	23	2.105648	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	112	10.253591	N
hsa-mir-1307	1256	114.986694	N
hsa-mir-130a	346	31.676271	N
hsa-mir-130b	543	49.711604	N
hsa-mir-132	1163	106.472552	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.091550	N
hsa-mir-1323	12	1.098599	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	316561	28981.132753	Y
hsa-mir-133a-2	314382	28781.645487	Y
hsa-mir-133b	11830	1083.035499	Y
hsa-mir-134	274	25.084677	N
hsa-mir-1343	8	0.732399	N
hsa-mir-135a-1	1795	164.332098	N
hsa-mir-135a-2	2363	216.332450	N
hsa-mir-135b	800	73.239932	N
hsa-mir-136	1681	153.895408	N
hsa-mir-137	4	0.366200	N
hsa-mir-138-1	101	9.246541	N
hsa-mir-138-2	42	3.845096	N
hsa-mir-139	7612	696.877956	N
hsa-mir-140	31853	2916.139454	N
hsa-mir-141	259	23.711428	N
hsa-mir-142	1924	176.142037	N
hsa-mir-143	348105	31868.983282	N
hsa-mir-144	1714	156.916555	N
hsa-mir-145	45378	4154.352059	N
hsa-mir-1468	38	3.478897	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6050	553.876988	N
hsa-mir-146b	10621	972.351651	N
