miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142328	11714.984971	N
hsa-let-7a-2	137978	11356.937471	Y
hsa-let-7a-3	139147	11453.157592	N
hsa-let-7b	77633	6389.954389	N
hsa-let-7c	25752	2119.641202	Y
hsa-let-7d	18480	1521.084553	N
hsa-let-7e	11328	932.405077	N
hsa-let-7f-1	205520	16916.303969	N
hsa-let-7f-2	218946	18021.394943	N
hsa-let-7g	246738	20308.948076	N
hsa-let-7i	33392	2748.487846	N
hsa-mir-1-1	4312	354.919729	N
hsa-mir-1-2	4597	378.378014	N
hsa-mir-100	72635	5978.570157	Y
hsa-mir-101-1	34843	2867.919323	N
hsa-mir-101-2	36898	3037.065900	N
hsa-mir-103a-1	52598	4329.329292	Y
hsa-mir-103a-2	54470	4483.413182	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.164620	N
hsa-mir-105-2	5	0.411549	N
hsa-mir-106a	886	72.926456	Y
hsa-mir-106b	5720	470.811885	N
hsa-mir-107	10751	884.912339	Y
hsa-mir-10a	515221	42407.722105	N
hsa-mir-10b	1281482	105478.488918	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.658478	N
hsa-mir-1180	913	75.148820	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.246929	N
hsa-mir-1185-2	13	1.070027	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.246929	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	30	2.469293	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	2.716222	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.493859	N
hsa-mir-1229	8	0.658478	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.246929	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	86	7.078640	N
hsa-mir-124-2	79	6.502472	N
hsa-mir-124-3	94	7.737118	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.246929	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	140	11.523368	N
hsa-mir-1248	15	1.234647	N
hsa-mir-1249	119	9.794863	N
hsa-mir-1250	5	0.411549	N
hsa-mir-1251	16	1.316956	N
hsa-mir-1252	8	0.658478	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.246929	N
hsa-mir-1254-2	7	0.576168	N
hsa-mir-1255a	6	0.493859	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.164620	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	343603	28281.883965	N
hsa-mir-125b-1	94574	7784.364206	N
hsa-mir-125b-2	96424	7936.637280	N
hsa-mir-126	99265	8170.479338	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	21	1.728505	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	0.905407	N
hsa-mir-1263	169	13.910351	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.082310	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	177	14.568829	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2095	172.438969	N
hsa-mir-1270	49	4.033179	N
hsa-mir-1271	902	74.243413	N
hsa-mir-1272	6	0.493859	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.164620	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.411549	N
hsa-mir-1276	6	0.493859	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.329239	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8490	698.809949	N
hsa-mir-128-2	4759	391.712196	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	1.234647	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	32	2.633913	N
hsa-mir-1288	5	0.411549	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	325	26.750675	N
hsa-mir-129-2	211	17.367362	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	38	3.127771	N
hsa-mir-1292	21	1.728505	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	17	1.399266	N
hsa-mir-1295b	1	0.082310	N
hsa-mir-1296	610	50.208960	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.493859	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	791	65.107028	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	1	0.082310	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	18	1.481576	N
hsa-mir-1304	14	1.152337	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	126	10.371031	N
hsa-mir-1307	1458	120.007645	N
hsa-mir-130a	755	62.143876	N
hsa-mir-130b	516	42.471841	N
hsa-mir-132	1845	151.861526	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	787	64.777789	Y
hsa-mir-133a-2	754	62.061567	Y
hsa-mir-133b	7	0.576168	Y
hsa-mir-134	91	7.490189	N
hsa-mir-1343	37	3.045461	N
hsa-mir-135a-1	12413	1021.711177	N
hsa-mir-135a-2	13177	1084.595842	N
hsa-mir-135b	2768	227.833444	N
hsa-mir-136	308	25.351409	N
hsa-mir-137	9	0.740788	N
hsa-mir-138-1	538	44.282656	N
hsa-mir-138-2	215	17.696601	N
hsa-mir-139	6071	499.702615	N
hsa-mir-140	63495	5226.258858	N
hsa-mir-141	330	27.162224	N
hsa-mir-142	2011	165.524948	N
hsa-mir-143	394562	32476.307544	N
hsa-mir-144	1423	117.126803	N
hsa-mir-145	61631	5072.833446	N
hsa-mir-1468	241	19.836655	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7639	628.764334	N
hsa-mir-146b	28564	2351.096276	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.493859	N
hsa-mir-148a	34546	2843.473321	N
hsa-mir-148b	5940	488.920035	N
hsa-mir-149	522	42.965700	N
hsa-mir-150	2968	244.295398	N
hsa-mir-151a	30890	2542.548801	N
hsa-mir-151b	265	21.812089	N
hsa-mir-152	4928	405.622547	N
hsa-mir-153-1	3	0.246929	N
hsa-mir-153-2	6	0.493859	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	197	16.215025	N
hsa-mir-155	1446	119.019928	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	985	81.075124	N
hsa-mir-15b	8177	673.046991	N
hsa-mir-16-1	18479	1521.002243	N
hsa-mir-16-2	19378	1594.998727	N
hsa-mir-17	2153	177.212935	Y
hsa-mir-181a-1	15877	1306.832221	N
hsa-mir-181a-2	16674	1372.433108	N
hsa-mir-181b-1	2665	219.355538	N
hsa-mir-181b-2	3332	274.256154	N
hsa-mir-181c	260	21.400540	N
hsa-mir-181d	152	12.511085	N
hsa-mir-182	7491	616.582488	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5874	483.487590	N
hsa-mir-184	593	48.809694	N
hsa-mir-185	2682	220.754804	N
hsa-mir-186	15803	1300.741298	N
hsa-mir-187	222	18.272769	N
hsa-mir-188	131	10.782580	N
hsa-mir-18a	114	9.383314	N
hsa-mir-18b	18	1.481576	N
hsa-mir-1908	3	0.246929	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	3196	263.062026	N
hsa-mir-190b	11	0.905407	N
hsa-mir-191	82768	6812.615059	N
hsa-mir-1910	6	0.493859	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.082310	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	128407	10569.150660	Y
hsa-mir-193a	1554	127.909383	N
hsa-mir-193b	1276	105.027267	N
hsa-mir-194-1	20492	1686.691811	N
hsa-mir-194-2	87367	7191.157692	N
hsa-mir-195	12179	1002.450691	N
hsa-mir-196a-1	1908	157.047042	N
hsa-mir-196a-2	4704	387.185159	N
hsa-mir-196b	1964	161.656389	N
hsa-mir-197	3728	306.850823	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
