miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	117537	16846.668613	N
hsa-let-7a-2	114650	16432.872683	Y
hsa-let-7a-3	114361	16391.450090	N
hsa-let-7b	69511	9963.065094	N
hsa-let-7c	24152	3461.724736	Y
hsa-let-7d	15379	2204.283899	N
hsa-let-7e	9460	1355.909076	N
hsa-let-7f-1	150058	21507.928556	N
hsa-let-7f-2	160034	22937.796309	N
hsa-let-7g	164294	23548.385386	N
hsa-let-7i	32791	4699.959251	N
hsa-mir-1-1	2262	324.214200	N
hsa-mir-1-2	2410	345.427154	N
hsa-mir-100	66644	9552.135779	Y
hsa-mir-101-1	18577	2662.655698	N
hsa-mir-101-2	19475	2791.366729	N
hsa-mir-103a-1	34729	4977.734282	Y
hsa-mir-103a-2	37089	5315.994897	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.143331	N
hsa-mir-106a	601	86.141792	Y
hsa-mir-106b	4545	651.438346	N
hsa-mir-107	10069	1443.197515	Y
hsa-mir-10a	240027	34403.254526	N
hsa-mir-10b	577946	82837.444705	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.859985	N
hsa-mir-1180	543	77.828608	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.289977	N
hsa-mir-1185-2	8	1.146646	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.859985	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.716654	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.429992	N
hsa-mir-1226	11	1.576638	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.859985	N
hsa-mir-1229	19	2.723285	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	1.003315	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	78	11.179800	N
hsa-mir-124-2	80	11.466462	N
hsa-mir-124-3	69	9.889823	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.143331	N
hsa-mir-1245b	3	0.429992	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	46	6.593215	N
hsa-mir-1248	23	3.296608	N
hsa-mir-1249	88	12.613108	N
hsa-mir-1250	5	0.716654	N
hsa-mir-1251	37	5.303238	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.286662	N
hsa-mir-1254-2	7	1.003315	N
hsa-mir-1255a	14	2.006631	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.143331	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	116367	16678.971613	N
hsa-mir-125b-1	54592	7824.713349	N
hsa-mir-125b-2	54941	7874.735788	N
hsa-mir-126	51528	7385.547873	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	27	3.869931	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.573323	N
hsa-mir-1263	66	9.459831	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.429992	N
hsa-mir-1269b	6	0.859985	N
hsa-mir-127	2001	286.804869	N
hsa-mir-1270	34	4.873246	N
hsa-mir-1271	464	66.505477	N
hsa-mir-1272	1	0.143331	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.143331	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.429992	N
hsa-mir-1276	5	0.716654	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.573323	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4310	617.755615	N
hsa-mir-128-2	2555	366.210115	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	1.146646	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	37	5.303238	N
hsa-mir-1288	5	0.716654	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	94	13.473092	N
hsa-mir-129-2	50	7.166538	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	4.443254	N
hsa-mir-1292	10	1.433308	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	18	2.579954	N
hsa-mir-1295a	10	1.433308	N
hsa-mir-1295b	7	1.003315	N
hsa-mir-1296	768	110.078031	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.429992	N
hsa-mir-1299	0	0.000000	N
