miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	124808	19211.658266	N
hsa-let-7a-2	121298	18671.365012	Y
hsa-let-7a-3	122111	18796.509860	N
hsa-let-7b	48254	7427.723848	N
hsa-let-7c	12944	1992.466065	Y
hsa-let-7d	22657	3487.585262	N
hsa-let-7e	9221	1419.385784	N
hsa-let-7f-1	134901	20765.270750	N
hsa-let-7f-2	143553	22097.070533	N
hsa-let-7g	185388	28536.719623	N
hsa-let-7i	60471	9308.283019	N
hsa-mir-1-1	1444	222.274490	N
hsa-mir-1-2	1446	222.582349	N
hsa-mir-100	38473	5922.137431	Y
hsa-mir-101-1	15310	2356.663740	N
hsa-mir-101-2	16122	2481.654658	N
hsa-mir-103a-1	53173	8184.904053	Y
hsa-mir-103a-2	55420	8530.784093	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	124	19.087283	N
hsa-mir-105-2	157	24.166963	N
hsa-mir-106a	789	121.450535	Y
hsa-mir-106b	9965	1533.909482	N
hsa-mir-107	5839	898.795531	Y
hsa-mir-10a	54020	8315.282510	N
hsa-mir-10b	15655	2409.769487	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	39	6.003258	N
hsa-mir-1180	338	52.028239	N
hsa-mir-1181	1	0.153930	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.539297	N
hsa-mir-1185-2	8	1.231438	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.461789	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.615719	N
hsa-mir-1224	22	3.386453	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	38	5.849329	N
hsa-mir-1227	2	0.307859	N
hsa-mir-1228	15	2.308946	N
hsa-mir-1229	5	0.769649	N
hsa-mir-1231	1	0.153930	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.923578	N
hsa-mir-1236	1	0.153930	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1528	235.204585	N
hsa-mir-124-2	1505	231.664202	N
hsa-mir-124-3	1542	237.359601	N
hsa-mir-1243	1	0.153930	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.077508	N
hsa-mir-1245b	3	0.461789	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	112	17.240127	N
hsa-mir-1248	64	9.851501	N
hsa-mir-1249	79	12.160446	N
hsa-mir-1250	102	15.700830	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	11	1.693227	N
hsa-mir-1253	2	0.307859	N
hsa-mir-1254-1	17	2.616805	N
hsa-mir-1254-2	18	2.770735	N
hsa-mir-1255a	40	6.157188	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.153930	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	89045	13706.670328	N
hsa-mir-125b-1	29534	4546.159823	N
hsa-mir-125b-2	29286	4507.985257	N
hsa-mir-126	126258	19434.856334	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	24	3.694313	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	2.155016	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.461789	N
hsa-mir-1267	6	0.923578	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	471	72.500890	N
hsa-mir-1269b	1	0.153930	N
hsa-mir-127	953	146.695006	N
hsa-mir-1270	30	4.617891	N
hsa-mir-1271	588	90.510665	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.153930	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	28	4.310032	N
hsa-mir-1277	1	0.153930	N
hsa-mir-1278	3	0.461789	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8413	1295.010584	N
hsa-mir-128-2	5192	799.203014	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.153930	N
hsa-mir-1284	16	2.462875	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.153930	N
hsa-mir-1287	40	6.157188	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	49	7.542555	N
hsa-mir-129-2	60	9.235782	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	35	5.387540	N
hsa-mir-1292	55	8.466134	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	9	1.385367	N
hsa-mir-1295a	13	2.001086	N
hsa-mir-1295b	8	1.231438	N
hsa-mir-1296	242	37.250988	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.615719	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	952	146.541076	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.461789	N
hsa-mir-1304	27	4.156102	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	123	18.933353	N
hsa-mir-1307	1041	160.240820	N
hsa-mir-130a	931	143.308553	N
hsa-mir-130b	2619	403.141890	N
hsa-mir-132	6133	944.050863	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.461789	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	218	33.556675	Y
hsa-mir-133a-2	241	37.097058	Y
hsa-mir-133b	45	6.926837	Y
hsa-mir-134	59	9.081852	N
hsa-mir-1343	15	2.308946	N
hsa-mir-135a-1	152	23.397315	N
hsa-mir-135a-2	129	19.856932	N
hsa-mir-135b	2332	358.964065	N
hsa-mir-136	84	12.930095	N
hsa-mir-137	395	60.802232	N
hsa-mir-138-1	112	17.240127	N
hsa-mir-138-2	34	5.233610	N
hsa-mir-139	3915	602.634784	N
hsa-mir-140	34452	5303.186099	N
hsa-mir-141	269	41.407090	N
hsa-mir-142	15354	2363.436647	N
hsa-mir-143	205992	31708.287206	N
hsa-mir-144	2641	406.528343	N
hsa-mir-145	37463	5766.668432	N
hsa-mir-1468	36	5.541469	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	23290	3585.022763	N
hsa-mir-146b	221349	34072.185642	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	18	2.770735	N
hsa-mir-148a	36064	5551.320778	N
hsa-mir-148b	2652	408.221570	N
hsa-mir-149	481	74.040187	N
hsa-mir-150	52288	8048.676266	N
hsa-mir-151a	18766	2888.644791	N
hsa-mir-151b	80	12.314376	N
hsa-mir-152	1459	224.583435	N
hsa-mir-153-1	3	0.461789	N
hsa-mir-153-2	8	1.231438	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.153930	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	66	10.159360	N
hsa-mir-155	20532	3160.484645	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1852	285.077808	N
hsa-mir-15b	16499	2539.686156	N
hsa-mir-16-1	26510	4080.676404	N
hsa-mir-16-2	29913	4604.499180	N
hsa-mir-17	7601	1170.019666	Y
hsa-mir-181a-1	28094	4324.501052	N
hsa-mir-181a-2	28299	4356.056641	N
hsa-mir-181b-1	7041	1083.819033	N
hsa-mir-181b-2	8907	1371.051857	N
hsa-mir-181c	511	78.658078	N
hsa-mir-181d	328	50.488942	N
hsa-mir-182	21036	3238.065214	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	13360	2056.500821	N
hsa-mir-184	240	36.943129	N
hsa-mir-185	4261	655.894461	N
hsa-mir-186	14205	2186.571419	N
hsa-mir-187	11	1.693227	N
