miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	191341	17481.493961	N
hsa-let-7a-2	186247	17016.090675	Y
hsa-let-7a-3	187111	17095.028334	N
hsa-let-7b	83683	7645.532631	N
hsa-let-7c	40221	3674.712522	Y
hsa-let-7d	28120	2569.128468	N
hsa-let-7e	20462	1869.470367	N
hsa-let-7f-1	221586	20244.768873	N
hsa-let-7f-2	238993	21835.125176	N
hsa-let-7g	222944	20368.839870	N
hsa-let-7i	79751	7286.293188	N
hsa-mir-1-1	4491	410.311378	N
hsa-mir-1-2	4800	438.542555	N
hsa-mir-100	57379	5242.319430	Y
hsa-mir-101-1	18937	1730.141742	N
hsa-mir-101-2	20331	1857.501809	N
hsa-mir-103a-1	78702	7190.453367	Y
hsa-mir-103a-2	81384	7435.489020	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.091363	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	944	86.246702	Y
hsa-mir-106b	7603	694.633134	N
hsa-mir-107	10316	942.501041	Y
hsa-mir-10a	497240	45429.354175	N
hsa-mir-10b	818243	74757.161628	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.187719	N
hsa-mir-1180	1054	96.296636	N
hsa-mir-1181	3	0.274089	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	1.553172	N
hsa-mir-1185-2	5	0.456815	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	97	8.862214	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.274089	N
hsa-mir-1226	31	2.832254	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.730904	N
hsa-mir-1229	5	0.456815	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.274089	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.091363	N
hsa-mir-124-1	10	0.913630	N
hsa-mir-124-2	6	0.548178	N
hsa-mir-124-3	8	0.730904	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.091363	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
