miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	225150	29178.503627	N
hsa-let-7a-2	218750	28349.090244	Y
hsa-let-7a-3	218675	28339.370556	N
hsa-let-7b	64098	8306.834224	N
hsa-let-7c	26484	3432.216256	Y
hsa-let-7d	37641	4878.117055	N
hsa-let-7e	9036	1171.028020	N
hsa-let-7f-1	235839	30563.753572	N
hsa-let-7f-2	252439	32715.044535	N
hsa-let-7g	251588	32604.758474	N
hsa-let-7i	55934	7248.813777	N
hsa-mir-1-1	4730	612.988328	N
hsa-mir-1-2	4998	647.720014	N
hsa-mir-100	77232	10008.946001	Y
hsa-mir-101-1	23241	3011.936943	N
hsa-mir-101-2	25797	3343.183913	N
hsa-mir-103a-1	55587	7203.844020	Y
hsa-mir-103a-2	58158	7537.034928	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	270	34.990877	Y
hsa-mir-106b	8170	1058.798022	N
hsa-mir-107	5652	732.475694	Y
hsa-mir-10a	124908	16187.557322	N
hsa-mir-10b	20800	2695.593495	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.814342	N
hsa-mir-1180	292	37.841986	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.647979	N
hsa-mir-1185-2	2	0.259192	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.259192	N
hsa-mir-1199	1	0.129596	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.518383	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.259192	N
hsa-mir-1226	11	1.425554	N
hsa-mir-1227	1	0.129596	N
hsa-mir-1228	13	1.684746	N
hsa-mir-1229	2	0.259192	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.259192	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
