miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	268511	29087.573734	N
hsa-let-7a-2	255870	27718.184698	Y
hsa-let-7a-3	255668	27696.302205	N
hsa-let-7b	90424	9795.556857	N
hsa-let-7c	21859	2367.967324	Y
hsa-let-7d	45039	4879.037482	N
hsa-let-7e	12688	1374.480507	N
hsa-let-7f-1	220745	23913.122606	N
hsa-let-7f-2	234978	25454.971681	N
hsa-let-7g	240517	26055.006953	N
hsa-let-7i	59195	6412.545211	N
hsa-mir-1-1	6406	693.956662	N
hsa-mir-1-2	6657	721.147284	N
hsa-mir-100	75278	8154.803250	Y
hsa-mir-101-1	23201	2513.345070	N
hsa-mir-101-2	25775	2792.184354	N
hsa-mir-103a-1	67390	7300.302758	Y
hsa-mir-103a-2	70423	7628.865131	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	470	50.914710	Y
hsa-mir-106b	12218	1323.565798	N
hsa-mir-107	8224	890.899093	Y
hsa-mir-10a	121941	13209.767305	N
hsa-mir-10b	11531	1249.143658	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.974963	N
hsa-mir-1180	665	72.038898	N
hsa-mir-1181	1	0.108329	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.216658	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.216658	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	0.974963	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.299950	N
hsa-mir-1229	6	0.649975	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	1.191621	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.108329	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.108329	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.216658	N
hsa-mir-1245b	1	0.108329	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	129	13.974463	N
hsa-mir-1248	13	1.408279	N
hsa-mir-1249	38	4.116508	N
hsa-mir-1250	14	1.516608	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.974963	N
hsa-mir-1254-2	8	0.866633	N
hsa-mir-1255a	33	3.574863	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.108329	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.324988	N
hsa-mir-125a	244269	26461.457998	N
hsa-mir-125b-1	42438	4597.273311	N
hsa-mir-125b-2	42275	4579.615657	N
hsa-mir-126	248431	26912.324003	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.541646	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.624938	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.108329	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	310	33.582043	N
hsa-mir-1270	15	1.624938	N
hsa-mir-1271	340	36.831918	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.324988	N
hsa-mir-1276	1	0.108329	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	13	1.408279	N
hsa-mir-1279	0	0.000000	N
