miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	177291	16453.151518	N
hsa-let-7a-2	167292	15525.213484	Y
hsa-let-7a-3	167581	15552.033575	N
hsa-let-7b	116947	10853.042234	N
hsa-let-7c	47702	4426.892700	Y
hsa-let-7d	28591	2653.332967	N
hsa-let-7e	17017	1579.230076	N
hsa-let-7f-1	191393	17761.860605	N
hsa-let-7f-2	207541	19260.444801	N
hsa-let-7g	223297	20722.650189	N
hsa-let-7i	42813	3973.178424	N
hsa-mir-1-1	6052	561.644263	N
hsa-mir-1-2	6320	586.515489	N
hsa-mir-100	60487	5613.380126	Y
hsa-mir-101-1	30509	2831.329282	N
hsa-mir-101-2	32652	3030.206290	N
hsa-mir-103a-1	89989	8351.256702	Y
hsa-mir-103a-2	94175	8739.730411	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1653	153.403497	Y
hsa-mir-106b	8008	743.167095	N
hsa-mir-107	32902	3053.407061	Y
hsa-mir-10a	418917	38876.789429	N
hsa-mir-10b	842735	78208.406772	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.113637	N
hsa-mir-1180	1779	165.096686	N
hsa-mir-1181	1	0.092803	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.928031	N
hsa-mir-1185-2	11	1.020834	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.649622	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.556819	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.185606	N
hsa-mir-1226	83	7.702656	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.835228	N
hsa-mir-1229	23	2.134471	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.185606	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	42	3.897730	N
hsa-mir-124-2	44	4.083336	N
hsa-mir-124-3	46	4.268942	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.185606	N
hsa-mir-1245b	3	0.278409	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	143	13.270841	N
hsa-mir-1248	26	2.412880	N
hsa-mir-1249	117	10.857961	N
hsa-mir-1250	9	0.835228	N
hsa-mir-1251	8	0.742425	N
hsa-mir-1252	1	0.092803	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.835228	N
hsa-mir-1254-2	10	0.928031	N
hsa-mir-1255a	13	1.206440	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.278409	N
hsa-mir-125a	344316	31953.586579	N
hsa-mir-125b-1	99412	9225.740160	N
hsa-mir-125b-2	99966	9277.153069	N
hsa-mir-126	55732	5172.101463	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	31	2.876896	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.299243	N
hsa-mir-1263	26	2.412880	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.649622	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	50	4.640154	N
hsa-mir-1269b	54	5.011367	N
hsa-mir-127	1826	169.458431	N
hsa-mir-1270	129	11.971598	N
hsa-mir-1271	747	69.323904	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.278409	N
hsa-mir-1277	2	0.185606	N
hsa-mir-1278	1	0.092803	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8067	748.642476	N
hsa-mir-128-2	4833	448.517304	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
