miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	211848	20591.483181	N
hsa-let-7a-2	208038	20221.153742	Y
hsa-let-7a-3	207446	20163.611740	N
hsa-let-7b	83510	8117.115859	N
hsa-let-7c	118368	11505.290025	Y
hsa-let-7d	24095	2342.017802	N
hsa-let-7e	16706	1623.811969	N
hsa-let-7f-1	188129	18286.012327	N
hsa-let-7f-2	199034	19345.970996	N
hsa-let-7g	229240	22281.973889	N
hsa-let-7i	59098	5744.285870	N
hsa-mir-1-1	35779	3477.694747	N
hsa-mir-1-2	38120	3705.238373	N
hsa-mir-100	123984	12051.161449	Y
hsa-mir-101-1	34776	3380.203821	N
hsa-mir-101-2	39099	3800.396515	N
hsa-mir-103a-1	29500	2867.380168	Y
hsa-mir-103a-2	30186	2934.058907	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	304	29.548596	Y
hsa-mir-106b	6935	674.077338	N
hsa-mir-107	3433	333.685292	Y
hsa-mir-10a	65867	6402.228120	N
hsa-mir-10b	969106	94196.451700	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.360791	N
hsa-mir-1180	278	27.021413	N
hsa-mir-1181	3	0.291598	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.263591	N
hsa-mir-1185-2	5	0.485997	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.097199	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.291598	N
hsa-mir-1226	13	1.263591	N
hsa-mir-1227	1	0.097199	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.194399	N
