miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	450706	34525.220196	N
hsa-let-7a-2	433332	33194.327828	Y
hsa-let-7a-3	434499	33283.722981	N
hsa-let-7b	159944	12252.115168	N
hsa-let-7c	86387	6617.462818	Y
hsa-let-7d	71319	5463.215886	N
hsa-let-7e	36894	2826.173767	N
hsa-let-7f-1	314068	24058.403608	N
hsa-let-7f-2	338895	25960.214637	N
hsa-let-7g	310667	23797.878401	N
hsa-let-7i	163138	12496.783651	N
hsa-mir-1-1	1630	124.862125	N
hsa-mir-1-2	1647	126.164368	N
hsa-mir-100	120603	9238.495008	Y
hsa-mir-101-1	10462	801.415676	N
hsa-mir-101-2	11366	870.664364	N
hsa-mir-103a-1	90360	6921.804673	Y
hsa-mir-103a-2	94543	7242.233059	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.076603	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	232	17.771787	Y
hsa-mir-106b	8302	635.954210	N
hsa-mir-107	10881	833.512136	Y
hsa-mir-10a	237137	18165.294320	N
hsa-mir-10b	39009	2988.188120	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	66	5.055767	N
hsa-mir-1180	584	44.735878	N
hsa-mir-1181	1	0.076603	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	54	4.136537	N
hsa-mir-1185-2	24	1.838461	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	34	2.604486	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	325	24.895822	N
hsa-mir-1224	35	2.681089	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	3.600319	N
hsa-mir-1227	1	0.076603	N
hsa-mir-1228	34	2.604486	N
hsa-mir-1229	10	0.766025	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.689423	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.153205	N
hsa-mir-1238	1	0.076603	N
hsa-mir-124-1	27	2.068268	N
hsa-mir-124-2	30	2.298076	N
hsa-mir-124-3	29	2.221473	N
hsa-mir-1243	2	0.153205	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	23	1.761858	N
hsa-mir-1245b	10	0.766025	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1740	133.288403	N
hsa-mir-1248	32	2.451281	N
hsa-mir-1249	276	21.142298	N
hsa-mir-1250	29	2.221473	N
hsa-mir-1251	2	0.153205	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.378846	N
hsa-mir-1254-2	16	1.225640	N
