miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	313008	27760.387330	N
hsa-let-7a-2	296756	26319.012621	Y
hsa-let-7a-3	298027	26431.736425	N
hsa-let-7b	111038	9847.856567	N
hsa-let-7c	40398	3582.860909	Y
hsa-let-7d	36316	3220.832139	N
hsa-let-7e	25922	2298.997982	N
hsa-let-7f-1	256141	22716.906185	N
hsa-let-7f-2	279610	24798.349887	N
hsa-let-7g	283431	25137.230810	N
hsa-let-7i	83569	7411.656599	N
hsa-mir-1-1	2783	246.821672	N
hsa-mir-1-2	2838	251.699571	N
hsa-mir-100	78289	6943.378328	Y
hsa-mir-101-1	15267	1354.015978	N
hsa-mir-101-2	16507	1463.990421	N
hsa-mir-103a-1	72972	6471.818561	Y
hsa-mir-103a-2	75642	6708.618369	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	248	21.994888	Y
hsa-mir-106b	8398	744.810781	N
hsa-mir-107	6735	597.320863	Y
hsa-mir-10a	161138	14291.178799	N
hsa-mir-10b	74369	6595.717187	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	95	8.425461	N
hsa-mir-1180	556	49.311121	N
hsa-mir-1181	1	0.088689	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	39	3.458874	N
hsa-mir-1185-2	23	2.039849	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	1.152958	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	46	4.079697	N
hsa-mir-1224	53	4.700521	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	2.838050	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	35	3.104117	N
hsa-mir-1229	1	0.088689	N
hsa-mir-1231	3	0.266067	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.088689	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.088689	N
hsa-mir-124-1	2	0.177378	N
hsa-mir-124-2	4	0.354756	N
hsa-mir-124-3	5	0.443445	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.152958	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	439	38.934500	N
hsa-mir-1248	32	2.838050	N
hsa-mir-1249	186	16.496166	N
hsa-mir-1250	47	4.168386	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.152958	N
hsa-mir-1254-2	11	0.975580	N
hsa-mir-1255a	21	1.862470	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.354756	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	177191	15714.904384	N
hsa-mir-125b-1	116441	10327.043593	N
hsa-mir-125b-2	116723	10352.053910	N
hsa-mir-126	43905	3893.893465	N
hsa-mir-1260a	2	0.177378	N
hsa-mir-1260b	10	0.886891	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	0.975580	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.177378	N
hsa-mir-1265	1	0.088689	N
hsa-mir-1266	6	0.532134	N
hsa-mir-1267	3	0.266067	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6268	555.903069	N
hsa-mir-1270	139	12.327780	N
hsa-mir-1271	1307	115.916610	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	7	0.620823	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	8	0.709513	N
hsa-mir-1276	3	0.266067	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	8	0.709513	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4852	430.319351	N
hsa-mir-128-2	3091	274.137905	N
hsa-mir-1281	1	0.088689	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.443445	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	91	8.070705	N
hsa-mir-1288	5	0.443445	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1012	89.753335	N
hsa-mir-129-2	1469	130.284239	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	43	3.813630	N
hsa-mir-1292	63	5.587411	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	0.709513	N
hsa-mir-1295a	31	2.749361	N
hsa-mir-1295b	5	0.443445	N
hsa-mir-1296	649	57.559204	N
hsa-mir-1297	0	0.000000	N
