miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	132906	17850.890147	N
hsa-let-7a-2	129148	17346.145100	Y
hsa-let-7a-3	130493	17526.794937	N
hsa-let-7b	82041	11019.102814	N
hsa-let-7c	38477	5167.928462	Y
hsa-let-7d	19132	2569.659987	N
hsa-let-7e	13634	1831.211806	N
hsa-let-7f-1	151318	20323.845389	N
hsa-let-7f-2	160923	21613.913556	N
hsa-let-7g	152777	20519.806811	N
hsa-let-7i	41224	5536.883929	N
hsa-mir-1-1	2110	283.398629	N
hsa-mir-1-2	2198	295.218098	N
hsa-mir-100	50950	6843.203866	Y
hsa-mir-101-1	10131	1360.716357	N
hsa-mir-101-2	11002	1477.702236	N
hsa-mir-103a-1	56330	7565.803214	Y
hsa-mir-103a-2	58273	7826.771715	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.268624	N
hsa-mir-105-2	2	0.268624	N
hsa-mir-106a	682	91.600884	Y
hsa-mir-106b	4008	538.323083	N
hsa-mir-107	6617	888.743474	Y
hsa-mir-10a	468920	62981.651752	N
hsa-mir-10b	723231	97138.708049	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.611746	N
hsa-mir-1180	597	80.184351	N
hsa-mir-1181	2	0.268624	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.537249	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	70	9.401850	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.134312	N
hsa-mir-1226	11	1.477434	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.268624	N
hsa-mir-1229	1	0.134312	N
hsa-mir-1231	1	0.134312	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.134312	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.537249	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.134312	N
hsa-mir-124-2	2	0.268624	N
hsa-mir-124-3	3	0.402936	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.134312	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.940185	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	131	17.594891	N
hsa-mir-1248	20	2.686243	N
hsa-mir-1249	67	8.998914	N
hsa-mir-1250	5	0.671561	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	2	0.268624	N
hsa-mir-1254-1	9	1.208809	N
hsa-mir-1254-2	6	0.805873	N
hsa-mir-1255a	1	0.134312	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.134312	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	318119	42727.245743	N
hsa-mir-125b-1	86969	11680.993072	N
hsa-mir-125b-2	87847	11798.919136	N
hsa-mir-126	33289	4471.117046	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.805873	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.417619	N
hsa-mir-1263	4	0.537249	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.402936	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.134312	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	808	108.524214	N
hsa-mir-1270	53	7.118544	N
hsa-mir-1271	1038	139.416008	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.537249	N
hsa-mir-1276	4	0.537249	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	9	1.208809	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2504	336.317615	N
hsa-mir-128-2	1469	197.304543	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.268624	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	37	4.969549	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	162	21.758568	N
hsa-mir-129-2	189	25.384996	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	73	9.804787	N
hsa-mir-1292	19	2.551931	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.402936	N
hsa-mir-1295a	13	1.746058	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	386	51.844489	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	558	74.946178	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.134312	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.671561	N
hsa-mir-1304	3	0.402936	N
hsa-mir-1305	1	0.134312	N
hsa-mir-1306	82	11.013596	N
hsa-mir-1307	745	100.062549	N
hsa-mir-130a	768	103.151729	N
hsa-mir-130b	365	49.023933	N
hsa-mir-132	2033	273.056594	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	296	39.756395	Y
hsa-mir-133a-2	296	39.756395	N
hsa-mir-133b	10	1.343121	Y
hsa-mir-134	37	4.969549	N
hsa-mir-1343	5	0.671561	N
hsa-mir-135a-1	719	96.570433	N
hsa-mir-135a-2	745	100.062549	N
hsa-mir-135b	1836	246.597101	N
hsa-mir-136	63	8.461665	N
hsa-mir-137	22	2.954867	N
hsa-mir-138-1	140	18.803701	N
hsa-mir-138-2	64	8.595977	N
hsa-mir-139	4694	630.461216	N
hsa-mir-140	27247	3659.603057	N
hsa-mir-141	472	63.395333	N
hsa-mir-142	412	55.336604	N
hsa-mir-143	169520	22768.595080	N
hsa-mir-144	280	37.607401	N
hsa-mir-145	31842	4276.767370	N
hsa-mir-1468	163	21.892880	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2885	387.490543	N
hsa-mir-146b	14417	1936.378217	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.134312	N
hsa-mir-148a	14843	1993.595191	N
hsa-mir-148b	1749	234.911944	N
hsa-mir-149	806	108.255590	N
hsa-mir-150	2088	280.443762	N
hsa-mir-151a	21795	2927.333234	N
hsa-mir-151b	127	17.057643	N
hsa-mir-152	2319	311.469868	N
hsa-mir-153-1	3	0.402936	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	53	7.118544	N
hsa-mir-155	1233	165.606877	N
hsa-mir-1587	0	0.000000	N
