miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	219294	19464.993608	N
hsa-let-7a-2	209951	18635.689408	Y
hsa-let-7a-3	209488	18594.592560	N
hsa-let-7b	91064	8083.030899	N
hsa-let-7c	40210	3569.123610	Y
hsa-let-7d	33998	3017.733512	N
hsa-let-7e	19301	1713.197085	N
hsa-let-7f-1	251100	22288.160620	N
hsa-let-7f-2	271743	24120.476429	N
hsa-let-7g	271080	24061.627164	N
hsa-let-7i	48059	4265.817249	N
hsa-mir-1-1	2993	265.664933	N
hsa-mir-1-2	3247	288.210504	N
hsa-mir-100	76175	6761.452151	Y
hsa-mir-101-1	20679	1835.511244	N
hsa-mir-101-2	22474	1994.839195	N
hsa-mir-103a-1	100006	8876.741501	Y
hsa-mir-103a-2	103348	9173.384403	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	0.710097	N
hsa-mir-105-2	6	0.532573	N
hsa-mir-106a	968	85.921702	Y
hsa-mir-106b	6602	586.007313	N
hsa-mir-107	26439	2346.780879	Y
hsa-mir-10a	365493	32441.922299	N
hsa-mir-10b	892742	79241.645113	N
hsa-mir-1178	1	0.088762	N
hsa-mir-1179	6	0.532573	N
hsa-mir-1180	1439	127.728646	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.798859	N
hsa-mir-1185-2	16	1.420193	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.177524	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	20	1.775242	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	69	6.124584	N
hsa-mir-1227	2	0.177524	N
hsa-mir-1228	6	0.532573	N
hsa-mir-1229	31	2.751625	N
hsa-mir-1231	1	0.088762	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.266286	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.266286	N
hsa-mir-124-1	94	8.343636	N
hsa-mir-124-2	106	9.408781	N
hsa-mir-124-3	107	9.497544	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.798859	N
hsa-mir-1245b	5	0.443810	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	76	6.745919	N
hsa-mir-1248	27	2.396576	N
hsa-mir-1249	105	9.320019	N
hsa-mir-1250	5	0.443810	N
hsa-mir-1251	20	1.775242	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.798859	N
hsa-mir-1254-2	7	0.621335	N
hsa-mir-1255a	10	0.887621	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.088762	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	265368	23554.618110	N
hsa-mir-125b-1	99159	8801.560011	N
hsa-mir-125b-2	99692	8848.870205	N
hsa-mir-126	74279	6593.159230	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	1.508956	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.798859	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.177524	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	1.242669	N
hsa-mir-1269b	22	1.952766	N
hsa-mir-127	2014	178.766848	N
hsa-mir-1270	159	14.113172	N
hsa-mir-1271	635	56.363927	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.177524	N
hsa-mir-1275	5	0.443810	N
hsa-mir-1276	7	0.621335	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	1	0.088762	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6595	585.385979	N
hsa-mir-128-2	3916	347.592342	N
