miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	291006	35226.234312	N
hsa-let-7a-2	278440	33705.121825	Y
hsa-let-7a-3	279041	33777.872788	N
hsa-let-7b	100300	12141.300528	N
hsa-let-7c	39060	4728.207364	Y
hsa-let-7d	51231	6201.505158	N
hsa-let-7e	14124	1709.708162	N
hsa-let-7f-1	223295	27029.827532	N
hsa-let-7f-2	238933	28922.805175	N
hsa-let-7g	225856	27339.836212	N
hsa-let-7i	55236	6686.309830	N
hsa-mir-1-1	4661	564.213377	N
hsa-mir-1-2	5219	631.759197	N
hsa-mir-100	142264	17221.036673	Y
hsa-mir-101-1	15314	1853.757490	N
hsa-mir-101-2	17401	2106.388539	N
hsa-mir-103a-1	58222	7047.764699	Y
hsa-mir-103a-2	60319	7301.606247	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	266	32.199262	Y
hsa-mir-106b	7042	852.433084	N
hsa-mir-107	6255	757.166847	Y
hsa-mir-10a	193961	23478.951064	N
hsa-mir-10b	20774	2514.689703	N
hsa-mir-1178	1	0.121050	N
hsa-mir-1179	8	0.968399	N
hsa-mir-1180	491	59.435479	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.121050	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.242100	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.815748	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.210499	N
hsa-mir-1229	2	0.242100	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.968399	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	11	1.331548	N
hsa-mir-124-2	7	0.847349	N
hsa-mir-124-3	9	1.089449	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.484199	N
hsa-mir-1245b	1	0.121050	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	469	56.772382	N
hsa-mir-1248	11	1.331548	N
hsa-mir-1249	83	10.047138	N
hsa-mir-1250	8	0.968399	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.363150	N
hsa-mir-1254-2	10	1.210499	N
hsa-mir-1255a	23	2.784147	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.121050	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	20	2.420997	N
hsa-mir-125a	296631	35907.139750	N
hsa-mir-125b-1	98972	11980.546320	N
hsa-mir-125b-2	98941	11976.793774	N
hsa-mir-126	171791	20795.275763	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.936798	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	2.420997	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.242100	N
hsa-mir-1267	2	0.242100	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	620	75.050911	N
hsa-mir-1270	20	2.420997	N
hsa-mir-1271	723	87.519046	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.121050	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.605249	N
hsa-mir-1278	3	0.363150	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2005	242.704961	N
hsa-mir-128-2	1286	155.670114	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.121050	N
hsa-mir-1283-2	2	0.242100	N
hsa-mir-1284	5	0.605249	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	63	7.626141	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.363150	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	21	2.542047	N
hsa-mir-129-2	15	1.815748	N
hsa-mir-1290	0	0.000000	N
