miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	273250	30240.585577	N
hsa-let-7a-2	267635	29619.173361	Y
hsa-let-7a-3	266634	29508.392662	N
hsa-let-7b	94061	10409.733650	N
hsa-let-7c	80618	8921.996443	Y
hsa-let-7d	29802	3298.188221	N
hsa-let-7e	10584	1171.331593	N
hsa-let-7f-1	223138	24694.689056	N
hsa-let-7f-2	234010	25897.893617	N
hsa-let-7g	284100	31441.355398	N
hsa-let-7i	78894	8731.201312	N
hsa-mir-1-1	7013	776.128917	N
hsa-mir-1-2	7556	836.222743	N
hsa-mir-100	108635	12022.638661	Y
hsa-mir-101-1	21293	2356.496939	N
hsa-mir-101-2	22516	2491.846386	N
hsa-mir-103a-1	47968	5308.619978	Y
hsa-mir-103a-2	51696	5721.197848	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.442680	N
hsa-mir-105-2	2	0.221340	N
hsa-mir-106a	412	45.596052	Y
hsa-mir-106b	9208	1019.049632	N
hsa-mir-107	8639	956.078385	Y
hsa-mir-10a	118822	13150.034252	N
hsa-mir-10b	90322	9995.938410	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	25	2.766751	N
hsa-mir-1180	467	51.682904	N
hsa-mir-1181	3	0.332010	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	1.881391	N
hsa-mir-1185-2	5	0.553350	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.221340	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.774690	N
hsa-mir-1224	3	0.332010	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.774690	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.332010	N
hsa-mir-1229	1	0.110670	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.553350	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	1.106700	N
hsa-mir-124-2	9	0.996030	N
hsa-mir-124-3	12	1.328040	N
hsa-mir-1243	1	0.110670	N
