miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	327656	26964.449467	N
hsa-let-7a-2	319826	26320.079642	Y
hsa-let-7a-3	319668	26307.077032	N
hsa-let-7b	108929	8964.311705	N
hsa-let-7c	33708	2773.999752	Y
hsa-let-7d	63186	5199.891667	N
hsa-let-7e	11554	950.836393	N
hsa-let-7f-1	312157	25688.959311	N
hsa-let-7f-2	329099	27083.201147	N
hsa-let-7g	353312	29075.809904	N
hsa-let-7i	90942	7484.071598	N
hsa-mir-1-1	13504	1111.311637	N
hsa-mir-1-2	14513	1194.347288	N
hsa-mir-100	116425	9581.195001	Y
hsa-mir-101-1	36097	2970.602499	N
hsa-mir-101-2	39450	3246.537623	N
hsa-mir-103a-1	79507	6543.028309	Y
hsa-mir-103a-2	82449	6785.140190	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	486	39.995368	Y
hsa-mir-106b	14104	1160.688635	N
hsa-mir-107	9809	807.231623	Y
hsa-mir-10a	131179	10795.375383	N
hsa-mir-10b	15290	1258.290501	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.069835	N
hsa-mir-1180	507	41.723563	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.822950	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.164590	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.329180	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	25	2.057375	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.740655	N
hsa-mir-1229	5	0.411475	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.246885	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.246885	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.082295	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	284	23.371779	N
hsa-mir-1248	41	3.374095	N
hsa-mir-1249	126	10.369170	N
hsa-mir-1250	3	0.246885	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	0.905245	N
hsa-mir-1254-2	16	1.316720	N
hsa-mir-1255a	34	2.798030	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.164590	N
hsa-mir-1257	1	0.082295	N
hsa-mir-1258	14	1.152130	N
hsa-mir-125a	273292	22490.564261	N
hsa-mir-125b-1	74547	6134.845125	N
hsa-mir-125b-2	74136	6101.021882	N
hsa-mir-126	349741	28781.934471	N
hsa-mir-1260a	1	0.082295	N
hsa-mir-1260b	22	1.810490	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.399015	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.164590	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.164590	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1146	94.310066	N
hsa-mir-1270	36	2.962620	N
hsa-mir-1271	625	51.434373	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.082295	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.246885	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.246885	N
hsa-mir-1277	6	0.493770	N
hsa-mir-1278	11	0.905245	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2450	201.622742	N
hsa-mir-128-2	1684	138.584775	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	6	0.493770	N
hsa-mir-1283-2	9	0.740655	N
hsa-mir-1284	19	1.563605	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	93	7.653435	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.246885	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	1.316720	N
hsa-mir-129-2	30	2.468850	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	1.892785	N
hsa-mir-1292	41	3.374095	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	22	1.810490	N
hsa-mir-1295a	37	3.044915	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	237	19.503914	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	35	2.880325	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	562	46.249788	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.411475	N
hsa-mir-1304	17	1.399015	N
hsa-mir-1305	1	0.082295	N
hsa-mir-1306	84	6.912780	N
hsa-mir-1307	1006	82.788767	N
hsa-mir-130a	1451	119.410040	N
hsa-mir-130b	593	48.800933	N
hsa-mir-132	1264	104.020876	N
hsa-mir-1321	0	0.000000	N
