miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	139319	14781.183965	N
hsa-let-7a-2	135187	14342.795431	Y
hsa-let-7a-3	136527	14484.964027	N
hsa-let-7b	85046	9023.037572	N
hsa-let-7c	28798	3055.351645	Y
hsa-let-7d	17454	1851.799000	N
hsa-let-7e	11920	1264.663921	N
hsa-let-7f-1	181552	19261.934921	N
hsa-let-7f-2	196137	20809.344593	N
hsa-let-7g	198525	21062.701761	N
hsa-let-7i	44740	4746.733544	N
hsa-mir-1-1	4408	467.671021	N
hsa-mir-1-2	4703	498.969331	N
hsa-mir-100	57474	6097.759582	Y
hsa-mir-101-1	26476	2808.996811	N
hsa-mir-101-2	28069	2978.007685	N
hsa-mir-103a-1	57887	6141.577216	Y
hsa-mir-103a-2	60726	6442.783665	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.318288	N
hsa-mir-105-2	2	0.212192	N
hsa-mir-106a	1086	115.220220	Y
hsa-mir-106b	6116	648.882931	N
hsa-mir-107	13589	1441.738090	Y
hsa-mir-10a	353717	37527.947004	N
hsa-mir-10b	943248	100074.808266	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.742672	N
hsa-mir-1180	752	79.784167	N
hsa-mir-1181	2	0.212192	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.742672	N
hsa-mir-1185-2	3	0.318288	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.212192	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	33	3.501167	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.076783	N
hsa-mir-1227	1	0.106096	N
hsa-mir-1228	4	0.424384	N
hsa-mir-1229	16	1.697535	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.954864	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	70	7.426718	N
hsa-mir-124-2	79	8.381581	N
hsa-mir-124-3	85	9.018157	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.318288	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	102	10.821789	N
hsa-mir-1248	26	2.758495	N
hsa-mir-1249	82	8.699869	N
hsa-mir-1250	6	0.636576	N
hsa-mir-1251	12	1.273152	N
hsa-mir-1252	2	0.212192	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.212192	N
hsa-mir-1254-2	3	0.318288	N
hsa-mir-1255a	8	0.848768	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	249482	26469.033929	N
hsa-mir-125b-1	69619	7386.295096	N
hsa-mir-125b-2	70199	7447.830757	N
hsa-mir-126	65741	6974.854938	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.697535	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.379248	N
hsa-mir-1263	59	6.259662	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	69	7.320622	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1114	118.190907	N
hsa-mir-1270	56	5.941374	N
hsa-mir-1271	653	69.280666	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.212192	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.318288	N
hsa-mir-1277	2	0.212192	N
hsa-mir-1278	8	0.848768	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5688	603.473858	N
hsa-mir-128-2	3006	318.924475	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.060960	N
