miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	186123	20310.672327	N
hsa-let-7a-2	176379	19247.358329	Y
hsa-let-7a-3	175970	19202.726204	N
hsa-let-7b	90290	9852.896227	N
hsa-let-7c	37129	4051.702115	Y
hsa-let-7d	26744	2918.438993	N
hsa-let-7e	16609	1812.457121	N
hsa-let-7f-1	206989	22587.674571	N
hsa-let-7f-2	226576	24725.105941	N
hsa-let-7g	222298	24258.269192	N
hsa-let-7i	47136	5143.715988	N
hsa-mir-1-1	4092	446.539499	N
hsa-mir-1-2	4409	481.132124	N
hsa-mir-100	76473	8345.116105	Y
hsa-mir-101-1	21222	2315.850744	N
hsa-mir-101-2	23282	2540.648244	N
hsa-mir-103a-1	61402	6700.493234	Y
hsa-mir-103a-2	64670	7057.113733	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.327375	N
hsa-mir-105-2	3	0.327375	N
hsa-mir-106a	1074	117.200250	Y
hsa-mir-106b	5897	643.510123	N
hsa-mir-107	13552	1478.861996	Y
hsa-mir-10a	405750	44277.468645	N
hsa-mir-10b	724126	79020.249562	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.418625	N
hsa-mir-1180	1181	128.876625	N
hsa-mir-1181	3	0.327375	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.327375	N
hsa-mir-1185-2	4	0.436500	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
