miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	362268	28932.123460	N
hsa-let-7a-2	349282	27895.011280	Y
hsa-let-7a-3	347935	27787.434650	N
hsa-let-7b	81175	6482.949424	N
hsa-let-7c	42695	3409.787812	Y
hsa-let-7d	66513	5311.985402	N
hsa-let-7e	20018	1598.714895	N
hsa-let-7f-1	376725	30086.715388	N
hsa-let-7f-2	405870	32414.347799	N
hsa-let-7g	415841	33210.670420	N
hsa-let-7i	135110	10790.407104	N
hsa-mir-1-1	9251	738.820636	N
hsa-mir-1-2	9821	784.343040	N
hsa-mir-100	87221	6965.806365	Y
hsa-mir-101-1	30646	2447.508076	N
hsa-mir-101-2	33491	2674.720778	N
hsa-mir-103a-1	123452	9859.354139	Y
hsa-mir-103a-2	127835	10209.397469	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	392	31.306636	Y
hsa-mir-106b	12665	1011.475879	N
hsa-mir-107	13737	1097.089944	Y
hsa-mir-10a	94807	7571.653662	N
hsa-mir-10b	32195	2571.217206	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.399319	N
hsa-mir-1180	646	51.592058	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	18	1.437550	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	9	0.718775	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	0.798639	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	1.357686	N
hsa-mir-1229	5	0.399319	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	21	1.677141	N
hsa-mir-124-2	23	1.836869	N
hsa-mir-124-3	22	1.757005	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	1.996597	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	312	24.917527	N
hsa-mir-1248	8	0.638911	N
hsa-mir-1249	69	5.510607	N
hsa-mir-1250	31	2.475780	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.197958	N
hsa-mir-1254-2	16	1.277822	N
hsa-mir-1255a	65	5.191151	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.718775	N
hsa-mir-125a	158658	12671.041450	N
hsa-mir-125b-1	66833	5337.541840	N
hsa-mir-125b-2	67102	5359.025220	N
hsa-mir-126	165049	13181.451425	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.038230	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.638911	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
