miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	185053	18011.046272	N
hsa-let-7a-2	174613	16994.930223	Y
hsa-let-7a-3	175497	17080.969168	N
hsa-let-7b	120185	11697.500695	N
hsa-let-7c	41371	4026.603164	Y
hsa-let-7d	28281	2752.564939	N
hsa-let-7e	15900	1547.533062	N
hsa-let-7f-1	201031	19566.171005	N
hsa-let-7f-2	217827	21200.910962	N
hsa-let-7g	226047	22000.956356	N
hsa-let-7i	32444	3157.746079	N
hsa-mir-1-1	2558	248.967898	N
hsa-mir-1-2	2678	260.647392	N
hsa-mir-100	67750	6594.048110	Y
hsa-mir-101-1	28588	2782.444980	N
hsa-mir-101-2	30755	2993.357190	N
hsa-mir-103a-1	76147	7411.320759	Y
hsa-mir-103a-2	79193	7707.785269	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.583975	N
hsa-mir-105-2	7	0.681304	N
hsa-mir-106a	1314	127.890468	Y
hsa-mir-106b	6113	594.972931	N
hsa-mir-107	19879	1934.805644	Y
hsa-mir-10a	360738	35110.313315	N
hsa-mir-10b	974371	94834.675291	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1194	116.210973	N
hsa-mir-1181	2	0.194658	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.583975	N
hsa-mir-1185-2	4	0.389316	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.097329	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.291987	N
hsa-mir-1224	1	0.097329	N
hsa-mir-1225	1	0.097329	N
hsa-mir-1226	88	8.564963	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.778633	N
hsa-mir-1229	17	1.654595	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.681304	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.097329	N
hsa-mir-124-1	57	5.547760	N
hsa-mir-124-2	47	4.574469	N
hsa-mir-124-3	59	5.742418	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.486646	N
hsa-mir-1245b	1	0.097329	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	315	30.658674	N
hsa-mir-1248	22	2.141241	N
hsa-mir-1249	73	7.105026	N
hsa-mir-1250	6	0.583975	N
hsa-mir-1251	30	2.919874	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.486646	N
hsa-mir-1254-2	4	0.389316	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.097329	N
hsa-mir-125a	344459	33525.892515	N
hsa-mir-125b-1	96547	9396.834876	N
hsa-mir-125b-2	96953	9436.350500	N
hsa-mir-126	63950	6224.197441	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	1.946582	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.875962	N
hsa-mir-1263	72	7.007697	N
hsa-mir-1264	1	0.097329	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.194658	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	25	2.433228	N
hsa-mir-1269b	82	7.980988	N
hsa-mir-127	971	94.506579	N
hsa-mir-1270	202	19.660483	N
hsa-mir-1271	440	42.824814	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.194658	N
hsa-mir-1276	11	1.070620	N
hsa-mir-1277	2	0.194658	N
hsa-mir-1278	1	0.097329	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6035	587.381260	N
hsa-mir-128-2	3460	336.758767	N
