miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146845	15147.873449	N
hsa-let-7a-2	139549	14395.250720	Y
hsa-let-7a-3	138920	14330.365893	N
hsa-let-7b	46232	4769.086351	N
hsa-let-7c	21752	2243.839036	Y
hsa-let-7d	26029	2685.035228	N
hsa-let-7e	15890	1639.141333	N
hsa-let-7f-1	190307	19631.218989	N
hsa-let-7f-2	204562	21101.701035	N
hsa-let-7g	226754	23390.928503	N
hsa-let-7i	57626	5944.440433	N
hsa-mir-1-1	68759	7092.870921	N
hsa-mir-1-2	72258	7453.812113	N
hsa-mir-100	86411	8913.772294	Y
hsa-mir-101-1	12486	1287.999917	N
hsa-mir-101-2	13647	1407.763485	N
hsa-mir-103a-1	47367	4886.167875	Y
hsa-mir-103a-2	49267	5082.163378	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.515778	N
hsa-mir-105-2	1	0.103156	N
hsa-mir-106a	528	54.466119	Y
hsa-mir-106b	8823	910.141220	N
hsa-mir-107	5888	607.379746	Y
hsa-mir-10a	342397	35320.143180	N
hsa-mir-10b	71796	7406.154259	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	38	3.919910	N
hsa-mir-1180	328	33.835013	N
hsa-mir-1181	1	0.103156	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.722089	N
hsa-mir-1185-2	3	0.309467	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	0.928400	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	85	8.768220	N
hsa-mir-1224	6	0.618933	N
hsa-mir-1225	5	0.515778	N
hsa-mir-1226	11	1.134711	N
hsa-mir-1227	2	0.206311	N
hsa-mir-1228	1	0.103156	N
hsa-mir-1229	1	0.103156	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.515778	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	35	3.610443	N
hsa-mir-124-2	29	2.991510	N
hsa-mir-124-3	45	4.641999	N
hsa-mir-1243	2	0.206311	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.515778	N
hsa-mir-1245b	5	0.515778	N
hsa-mir-1246	2	0.206311	N
hsa-mir-1247	72	7.427198	N
hsa-mir-1248	52	5.364087	N
hsa-mir-1249	142	14.648085	N
hsa-mir-1250	12	1.237866	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.753644	N
hsa-mir-1254-2	14	1.444177	N
