miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	166468	16349.735123	N
hsa-let-7a-2	162599	15969.739417	Y
hsa-let-7a-3	161968	15907.765446	N
hsa-let-7b	110048	10808.417538	N
hsa-let-7c	36474	3582.311549	Y
hsa-let-7d	20520	2015.381723	N
hsa-let-7e	11826	1161.496309	N
hsa-let-7f-1	210364	20661.001990	N
hsa-let-7f-2	226899	22284.995012	N
hsa-let-7g	234622	23043.513191	N
hsa-let-7i	29637	2910.812287	N
hsa-mir-1-1	2478	243.377968	N
hsa-mir-1-2	2639	259.190661	N
hsa-mir-100	58247	5720.757273	Y
hsa-mir-101-1	30843	3029.260160	N
hsa-mir-101-2	32971	3238.262710	N
hsa-mir-103a-1	65795	6462.087743	Y
hsa-mir-103a-2	68709	6748.287662	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	13	1.276801	N
hsa-mir-105-2	7	0.687508	N
hsa-mir-106a	1284	126.108681	Y
hsa-mir-106b	7044	691.829866	N
hsa-mir-107	19657	1930.621761	Y
hsa-mir-10a	330334	32443.913557	N
hsa-mir-10b	859594	84425.440403	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.982155	N
hsa-mir-1180	894	87.804642	N
hsa-mir-1181	1	0.098215	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.785724	N
hsa-mir-1185-2	5	0.491077	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.491077	N
